Stasiun;Curah Hujan (mm);Tgl CH;Tx (oC);Tgl Tx;Tn (oC);Tgl Tn;Tav (oC);Tgl Tav;RH (%);Tgl RH;Wx (knot);Tgl Wx
Stasiun Meteorologi Malikussaleh;165.2;05/06/2021;35.5;02/01/2020;20.8;12/03/2021;28.8;01/04/2021;71;08/10/2020;2;21/05/2020
Stasiun Meteorologi Mararena;151.0;17/02/2022;34.2;26/03/2022;22.1;21/07/2022;29.8;10/05/2022;76;08/02/2020;1;03/02/2022
Stasiun Meteorologi Maritim Ambon;200.0;19/07/2022;34.8;28/01/2022;21.0;18/06/2021;30.1;31/01/2022;70;31/01/2022;1;19/07/2022
Stasiun Meteorologi Maritim Belawan;159.0;29/01/2020;35.8;02/07/2022;20.8;10/01/2021;30.6;02/07/2022;59;02/07/2022;2;12/09/2020
Stasiun Meteorologi Maritim Bitung;196.5;14/09/2020;36.8;30/06/2022;21.2;19/02/2020;30.5;23/12/2020;61;21/02/2022;1;27/03/2020
Stasiun Meteorologi Maritim Kendari;93.8;02/07/2021;35.2;23/03/2020;20.4;20/08/2020;30.0;11/12/2021;76;22/08/2020;1;07/04/2020
Stasiun Meteorologi Maritim Panjang;115.3;05/08/2020;36.0;16/04/2022;22.4;05/10/2020;30.6;15/05/2022;69;28/02/2022;2;01/06/2020
Stasiun Meteorologi Maritim Paotere;218.8;07/12/2021;35.0;07/11/2020;21.8;23/01/2021;30.6;15/10/2020;59;12/09/2020;2;13/05/2020
Stasiun Meteorologi Maritim Pontianak;168.0;20/11/2020;35.8;31/03/2022;20.8;20/11/2021;30.6;04/06/2021;67;05/07/2021;1;22/04/2020
Stasiun Meteorologi Maritim Serang;180.4;01/03/2022;35.6;14/10/2021;20.4;09/07/2022;29.9;27/03/2022;68;09/09/2020;1;30/11/2021
